VENDOR_NAME,MANUFACTURING_SITE
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
"Orgenics, Ltd",Inverness Japan
BRISTOL-MYERS SQUIBB,"BMS Meymac, France"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany
S. BUYS WHOLESALER,"BMS Meymac, France"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Boehringer Ing., Koropi, GR"
S. BUYS WHOLESALER,GSK Cape Town Factory (South Africa)
S. BUYS WHOLESALER,"Boehringer Ing., Koropi, GR"
S. BUYS WHOLESALER,"MSD Midrand, J'burg, SA"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"BI, Ingelheim, Germany"
S. BUYS WHOLESALER,"BMS Meymac, France"
S. BUYS WHOLESALER,GSK Ware (UK)
S. BUYS WHOLESALER,Roche Basel
S. BUYS WHOLESALER,ABBVIE (Abbott) Logis. UK
S. BUYS WHOLESALER,GSK Ware (UK)
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,ABBVIE Ludwigshafen Germany
S. BUYS WHOLESALER,"BMS Meymac, France"
S. BUYS WHOLESALER,GSK Crawley
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
Orasure Technologies Inc.,"Pacific Biotech, Thailand"
S. BUYS WHOLESALER,GSK Crawley
"Orgenics, Ltd",Inverness Japan
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Mylan (formerly Matrix) Nashik
"Orgenics, Ltd",Inverness Japan
GLAXOSMITHKLINE EXPORT LIMITED,GSK Ware (UK)
CIPLA LIMITED,"Cipla, Goa, India"
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Mylan (formerly Matrix) Nashik
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
Orasure Technologies Inc.,"Pacific Biotech, Thailand"
BRISTOL-MYERS SQUIBB,"BMS Meymac, France"
S. BUYS WHOLESALER,"Boehringer Ing., Koropi, GR"
S. BUYS WHOLESALER,"BMS Meymac, France"
S. BUYS WHOLESALER,GSK Ware (UK)
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,Roche Basel
S. BUYS WHOLESALER,"Aspen-OSD, Port Elizabeth, SA"
OMEGA DIAGNOSTICS LTD,"OMEGA Diagnostics, UK"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
Hoffmann-La Roche ltd Basel,Roche Madrid
Premier Medical Corporation Ltd.,Premier Med. Corp Ltd. India
"Trinity Biotech, Plc","Trinity Biotech, Plc"
Abbott GmbH & Co. KG,ABBVIE GmbH & Co.KG Wiesbaden
"Standard Diagnostics, Inc.","Standard Diagnostics, Korea"
"Trinity Biotech, Plc","Trinity Biotech, Plc"
Abbott GmbH & Co. KG,ABBVIE GmbH & Co.KG Wiesbaden
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany
"Orgenics, Ltd",Inverness Japan
BRISTOL-MYERS SQUIBB,"BMS Meymac, France"
"Standard Diagnostics, Inc.","Standard Diagnostics, Korea"
"Standard Diagnostics, Inc.","Standard Diagnostics, Korea"
"Orgenics, Ltd",Inverness Japan
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Chembio Diagnostics Sys. Inc.
"JSI R&T INSTITUTE, INC.",GSK Aranda
"JSI R&T INSTITUTE, INC.","BMS Meymac, France"
"Trinity Biotech, Plc","Trinity Biotech, Plc"
CIPLA LIMITED,"Cipla, Goa, India"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
"JSI R&T INSTITUTE, INC.","BI, Ingelheim, Germany"
"JSI R&T INSTITUTE, INC.",GSK Aranda
"JSI R&T INSTITUTE, INC.",GSK Mississauga (Canada)
