MODE_DSC,CARRIER_TYPE,FREIGHT_RATES_ID,PORTCARRIER_ID
AIR,V888888883_1,57712,63292
AIR,V888888883_1,57713,63292
AIR,V888888883_1,57714,63292
AIR,V888888883_1,57715,63292
AIR,V888888883_1,57716,63292
AIR,V888888883_1,57717,63292
AIR,V888888883_1,57718,63292
AIR,V888888883_1,57719,63292
AIR,V888888883_1,57720,63292
AIR,V888888883_1,57721,63292
AIR,V888888883_1,57722,63292
AIR,V888888883_1,57723,63292
AIR,V888888883_1,57724,63292
AIR,V888888883_1,57725,63292
AIR,V888888883_1,57726,63292
AIR,V888888883_1,57727,63292
AIR,V888888883_1,57728,63292
AIR,V888888883_1,57729,63292
AIR,V888888883_1,57730,63292
AIR,V888888883_1,57731,63292
AIR,V888888883_1,57732,63292
AIR,V888888883_1,57733,63292
AIR,V888888883_1,57734,63292
AIR,V888888883_1,57735,63292
AIR,V888888883_1,57736,63292
AIR,V888888883_1,57737,63292
AIR,V888888883_1,57738,63292
AIR,V888888883_1,57739,63292
AIR,V888888883_1,57740,63292
AIR,V888888883_1,57741,63292
AIR,V888888883_1,57742,63292
AIR,V888888883_1,57743,63292
AIR,V888888883_1,57744,63292
AIR,V888888883_1,57745,63292
AIR,V888888883_1,57746,63292
AIR,V888888883_1,57747,63292
AIR,V888888883_1,57748,63292
AIR,V888888883_1,57749,63292
AIR,V888888883_1,57750,63292
AIR,V888888883_1,57751,63292
AIR,V888888883_1,57752,63292
AIR,V888888883_1,57753,63292
AIR,V888888883_1,57754,63292
AIR,V888888883_1,57755,63292
AIR,V888888883_1,57756,63292
AIR,V888888883_1,57757,63292
AIR,V888888883_1,57758,63292
AIR,V888888883_1,57759,63292
AIR,V888888883_1,57760,63292
AIR,V888888883_1,57761,63292
AIR,V888888883_1,57762,63292
AIR,V888888883_1,57763,63292
AIR,V888888883_1,57764,63292
AIR,V888888883_1,57765,63292
AIR,V888888883_1,57766,63292
AIR,V888888883_1,57767,63292
AIR,V888888883_1,57768,63292
AIR,V888888883_1,57769,63292
AIR,V888888883_1,57770,63292
AIR,V888888883_1,57771,63292
AIR,V888888883_1,57772,63292
AIR,V888888883_1,57773,63292
AIR,V888888883_1,57774,63292
AIR,V888888883_1,57775,63292
AIR,V888888883_1,57776,63292
AIR,V888888883_1,57777,63292
AIR,V888888883_1,57778,63292
AIR,V888888883_1,57779,63292
AIR,V888888883_1,57780,63292
AIR,V888888883_1,57781,63292
AIR,V888888883_1,57782,63292
AIR,V888888883_1,57783,63292
AIR,V888888883_1,57784,63292
AIR,V888888883_1,57785,63292
AIR,V888888883_1,57786,63292
AIR,V888888883_1,57787,63292
AIR,V888888883_1,57788,63292
AIR,V888888883_1,57789,63292
AIR,V888888883_1,57790,63292
AIR,V888888883_1,57791,63292
AIR,V888888883_1,57792,63292
AIR,V888888883_1,57793,63293
AIR,V888888883_1,57794,63293
AIR,V888888883_1,57795,63293
AIR,V888888883_1,57796,63293
AIR,V888888883_1,57797,63293
AIR,V888888883_1,57798,63293
AIR,V888888883_1,57799,63293
AIR,V888888883_1,57800,63293
AIR,V888888883_1,57801,63293
AIR,V888888883_1,57802,63293
AIR,V888888883_1,57803,63293
AIR,V888888883_1,57804,63293
AIR,V888888883_1,57805,63293
AIR,V888888883_1,57806,63293
AIR,V888888883_1,57807,63293
AIR,V888888883_1,57808,63293
AIR,V888888883_1,57809,63293
AIR,V888888883_1,57810,63293
AIR,V888888883_1,57811,63293
AIR,V888888883_1,57812,63293
AIR,V888888883_1,57813,63293
AIR,V888888883_1,57814,63293
AIR,V888888883_1,57815,63293
AIR,V888888883_1,57816,63293
AIR,V888888883_1,57817,63293
AIR,V888888883_1,57818,63293
AIR,V888888883_1,57819,63293
AIR,V888888883_1,57820,63293
AIR,V888888883_1,57821,63293
AIR,V888888883_1,57822,63293
AIR,V888888883_1,57823,63293
AIR,V888888883_1,57824,63293
AIR,V888888883_1,57825,63293
AIR,V888888883_1,57826,63293
AIR,V888888883_1,57827,63293
AIR,V888888883_1,57828,63293
AIR,V888888883_1,57829,63293
AIR,V888888883_1,57830,63293
AIR,V888888883_1,57831,63293
AIR,V888888883_1,57832,63293
AIR,V888888883_1,57833,63293
AIR,V888888883_1,57834,63293
AIR,V888888883_1,57835,63293
AIR,V888888883_1,57836,63293
AIR,V888888883_1,57837,63293
AIR,V888888883_1,57838,63293
AIR,V888888883_1,57839,63293
AIR,V888888883_1,57840,63293
AIR,V888888883_1,57841,63293
AIR,V888888883_1,57842,63293
AIR,V888888883_1,57843,63293
AIR,V888888883_1,57844,63293
AIR,V888888883_1,57845,63293
AIR,V888888883_1,57846,63293
AIR,V888888883_1,57847,63293
AIR,V888888883_1,57848,63293
AIR,V888888883_1,57849,63293
AIR,V888888883_1,57850,63293
AIR,V888888883_1,57851,63293
AIR,V888888883_1,57852,63293
AIR,V888888883_1,57853,63293
AIR,V888888883_1,57854,63293
AIR,V888888883_1,57855,63293
AIR,V888888883_1,57856,63293
AIR,V888888883_1,57857,63293
AIR,V888888883_1,57858,63293
AIR,V888888883_1,57859,63293
AIR,V888888883_1,57860,63293
AIR,V888888883_1,57861,63293
AIR,V888888883_1,57862,63293
AIR,V888888883_1,57863,63293
AIR,V888888883_1,57864,63293
AIR,V888888883_1,57865,63293
AIR,V888888883_1,57866,63293
AIR,V888888883_1,57867,63293
AIR,V888888883_1,57868,63293
AIR,V888888883_1,57869,63293
AIR,V888888883_1,57870,63293
AIR,V888888883_1,57871,63293
AIR,V888888883_1,57872,63293
AIR,V888888883_1,57873,63293
AIR,V888888883_1,57874,63293
AIR,V888888883_1,57875,63293
AIR,V888888883_1,57876,63293
AIR,V888888883_1,57877,63293
AIR,V888888883_1,57878,63293
AIR,V888888883_1,57879,63293
AIR,V888888883_1,57880,63293
AIR,V888888883_1,57881,63293
AIR,V888888883_1,57882,63293
AIR,V888888883_1,57883,63293
AIR,V888888883_1,57884,63293
AIR,V888888883_1,57885,63293
AIR,V888888883_1,57886,63293
AIR,V888888883_1,57887,63293
AIR,V888888883_1,57888,63293
AIR,V888888883_1,57889,63293
AIR,V888888883_1,57890,63293
AIR,V888888883_1,57891,63293
AIR,V888888883_1,57892,63293
AIR,V888888883_1,57893,63293
AIR,V888888883_1,57894,63293
AIR,V888888883_1,57895,63293
AIR,V888888883_1,57896,63293
AIR,V888888883_1,57897,63293
AIR,V888888883_1,57898,63293
AIR,V888888883_1,57899,63293
AIR,V888888883_1,57900,63293
AIR,V888888883_1,57901,63293
AIR,V888888883_1,57902,63293
AIR,V888888883_1,57903,63293
AIR,V888888883_1,57904,63293
AIR,V888888883_1,57905,63293
AIR,V888888883_1,57906,63293
AIR,V888888883_1,57907,63293
AIR,V888888883_1,57908,63293
AIR,V888888883_1,57909,63293
AIR,V888888883_1,57910,63293
AIR,V888888883_1,57911,63293
AIR,V888888883_1,57912,63293
AIR,V888888883_1,57913,63293
AIR,V888888883_1,57914,63293
AIR,V888888883_1,57915,63293
AIR,V888888883_1,57916,63293
AIR,V888888883_1,57917,63293
AIR,V888888883_1,57918,63293
AIR,V888888883_1,57919,63293
AIR,V888888883_1,57920,63293
AIR,V888888883_1,57921,63293
AIR,V888888883_1,57922,63293
AIR,V888888883_1,57923,63293
AIR,V888888883_1,57924,63293
AIR,V888888883_1,57925,63293
AIR,V888888883_1,57926,63293
AIR,V888888883_1,57927,63293
AIR,V888888883_1,57928,63293
AIR,V888888883_1,57929,63293
AIR,V888888883_1,57930,63293
AIR,V888888883_1,57931,63293
AIR,V888888883_1,57932,63293
AIR,V888888883_1,57933,63293
AIR,V888888883_1,57934,63293
AIR,V888888883_1,57935,63293
AIR,V888888883_1,57936,63293
AIR,V888888883_1,57937,63293
AIR,V888888883_1,57938,63293
AIR,V888888883_1,57939,63293
AIR,V888888883_1,57940,63293
AIR,V888888883_1,57941,63293
AIR,V888888883_1,57942,63293
AIR,V888888883_1,57943,63293
AIR,V888888883_1,57944,63257
AIR,V888888883_1,57945,63257
AIR,V888888883_1,57946,63257
AIR,V888888883_1,57947,63257
AIR,V888888883_1,57948,63257
AIR,V888888883_1,57949,63257
AIR,V888888883_1,57950,63257
AIR,V888888883_1,57951,63257
AIR,V888888883_1,57952,63257
AIR,V888888883_1,57953,63257
AIR,V888888883_1,57954,63257
AIR,V888888883_1,57955,63257
AIR,V888888883_1,57956,63257
AIR,V888888883_1,57957,63257
AIR,V888888883_1,57958,63257
AIR,V888888883_1,57959,63257
AIR,V888888883_1,57960,63257
AIR,V888888883_1,57961,63257
AIR,V888888883_1,57962,63257
AIR,V888888883_1,57963,63257
AIR,V888888883_1,57964,63257
AIR,V888888883_1,57965,63257
